Stage,Date,Team 1,Team 2,ft_t1_gls,ft_t2_gls,ht_t1_gls,ht_t2_gls
2,2008-07-15,Inter Baku PIK,Rabotnicki,0,0,0,0
2,2008-07-15,Anorthosis Famagusta,Pyunik,1,0,0,0
2,2008-07-15,BATE Borisov,Valur Reykjavik,2,0,0,0
2,2008-07-15,Tampere United,Buducnost,2,1,0,0
2,2008-07-15,Dinamo Tirana,FK Modrica,0,2,0,0
2,2008-07-15,F91 Dudelange,NK Domzale,0,1,0,0
2,2008-07-15,Valletta,Petrzalka Akademia,0,2,0,0
2,2008-07-15,Murata,IFK Goteborg,0,5,0,0
2,2008-07-15,Llanelli,Ventspils,1,0,0,0
2,2008-07-15,FC Santa Coloma,FBK Kaunas,1,4,0,0
2,2008-07-16,Aktobe,Sheriff Tiraspol,1,0,0,0
2,2008-07-16,Dinamo Tbilisi,NSI,3,0,0,0
2,2008-07-16,Linfield,Dinamo Zagreb,0,2,0,0
2,2008-07-16,Drogheda United,Levadia,2,1,0,0
2,2008-07-22,Rabotnicki,Inter Baku PIK,1,1,0,0
2,2008-07-22,Sheriff Tiraspol,Aktobe,4,0,0,0
2,2008-07-22,NSI,Dinamo Tbilisi,1,0,0,0
2,2008-07-22,FBK Kaunas,FC Santa Coloma,3,1,0,0
2,2008-07-22,Ventspils,Llanelli,4,0,0,0
2,2008-07-23,Valur Reykjavik,BATE Borisov,0,1,0,0
2,2008-07-23,Pyunik,Anorthosis Famagusta,0,2,0,0
2,2008-07-23,Buducnost,Tampere United,1,1,0,0
2,2008-07-23,FK Modrica,Dinamo Tirana,2,1,0,0
2,2008-07-23,Dinamo Zagreb,Linfield,1,1,0,0
2,2008-07-23,Levadia,Drogheda United,0,1,0,0
2,2008-07-23,NK Domzale,F91 Dudelange,2,0,0,0
2,2008-07-23,IFK Goteborg,Murata,4,0,0,0
2,2008-07-23,Petrzalka Akademia,Valletta,1,0,0,0
2,2008-07-29,Brann,Ventspils,1,0,0,0
2,2008-07-29,Drogheda United,Dinamo Kiev,1,2,0,0
2,2008-07-29,Inter Baku PIK,Partizan Belgrade,1,1,0,0
2,2008-07-30,RSC Anderlecht,BATE Borisov,1,2,0,0
2,2008-07-30,Anorthosis Famagusta,Rapid Wien,3,0,0,0
2,2008-07-30,IFK Goteborg,Basel,1,1,0,0
2,2008-07-30,Aalborg BK,FK Modrica,5,0,0,0
2,2008-07-30,Beitar Jerusalem,Wisla Krakow,2,1,0,0
2,2008-07-30,Panathinaikos FC,Dinamo Tbilisi,3,0,0,0
2,2008-07-30,NK Domzale,Dinamo Zagreb,0,3,0,0
2,2008-07-30,Rangers FC,FBK Kaunas,0,0,0,0
2,2008-07-30,Fenerbahçe İstanbul SK,MTK,2,0,0,0
2,2008-07-30,Tampere United,Petrzalka Akademia,1,3,0,0
2,2008-07-30,Sheriff Tiraspol,Sparta Praha,0,1,0,0
2,2008-08-05,Ventspils,Brann,2,1,0,0
2,2008-08-05,FBK Kaunas,Rangers FC,2,1,0,0
2,2008-08-06,Wisla Krakow,Beitar Jerusalem,5,0,0,0
2,2008-08-06,Rapid Wien,Anorthosis Famagusta,3,1,0,0
2,2008-08-06,Basel,IFK Goteborg,4,2,0,0
2,2008-08-06,BATE Borisov,RSC Anderlecht,2,2,0,0
2,2008-08-06,FK Modrica,Aalborg BK,1,2,0,0
2,2008-08-06,Dinamo Kiev,Drogheda United,2,2,0,0
2,2008-08-06,Dinamo Tbilisi,Panathinaikos FC,0,0,0,0
2,2008-08-06,Dinamo Zagreb,NK Domzale,3,2,0,0
2,2008-08-06,MTK,Fenerbahçe İstanbul SK,0,5,0,0
2,2008-08-06,Petrzalka Akademia,Tampere United,4,2,0,0
2,2008-08-06,Partizan Belgrade,Inter Baku PIK,2,0,0,0
2,2008-08-06,Sparta Praha,Sheriff Tiraspol,2,0,0,0
2,2008-08-12,ACF Fiorentina,Slavia Praha,2,0,0,0
2,2008-08-13,Aalborg BK,FBK Kaunas,2,0,0,0
2,2008-08-13,Anorthosis Famagusta,Olympiacos,3,0,0,0
2,2008-08-13,FC Twente,Arsenal FC,0,2,0,0
2,2008-08-13,FC Schalke 04,Atletico Madrid,1,0,0,0
2,2008-08-13,FC Barcelona,Wisla Krakow,4,0,0,0
2,2008-08-13,Vitoria Guimaraes,Basel,0,0,0,0
2,2008-08-13,Levski Sofia,BATE Borisov,0,1,0,0
2,2008-08-13,Brann,Olympique Marseille,0,1,0,0
2,2008-08-13,Spartak Moskva,Dinamo Kiev,1,4,0,0
2,2008-08-13,Shakhtar Donetsk,Dinamo Zagreb,2,0,0,0
2,2008-08-13,Galatasaray İstanbul AŞ,Steaua Bucuresti,2,2,0,0
2,2008-08-13,Juventus,Petrzalka Akademia,4,0,0,0
2,2008-08-13,Standard Liege,Liverpool FC,0,0,0,0
2,2008-08-13,Sparta Praha,Panathinaikos FC,1,2,0,0
2,2008-08-13,Partizan Belgrade,Fenerbahçe İstanbul SK,2,2,0,0
2,2008-08-26,Wisla Krakow,FC Barcelona,1,0,0,0
2,2008-08-26,Petrzalka Akademia,Juventus,1,1,0,0
2,2008-08-26,Panathinaikos FC,Sparta Praha,1,0,0,0
2,2008-08-27,Atletico Madrid,FC Schalke 04,4,0,0,0
2,2008-08-27,Slavia Praha,ACF Fiorentina,0,0,0,0
2,2008-08-27,Olympiacos,Anorthosis Famagusta,1,0,0,0
2,2008-08-27,Arsenal FC,FC Twente,4,0,0,0
2,2008-08-27,FBK Kaunas,Aalborg BK,0,2,0,0
2,2008-08-27,Basel,Vitoria Guimaraes,2,1,0,0
2,2008-08-27,BATE Borisov,Levski Sofia,1,1,0,0
2,2008-08-27,Fenerbahçe İstanbul SK,Partizan Belgrade,2,1,0,0
2,2008-08-27,Dinamo Kiev,Spartak Moskva,4,1,0,0
2,2008-08-27,Dinamo Zagreb,Shakhtar Donetsk,1,3,0,0
2,2008-08-27,Steaua Bucuresti,Galatasaray İstanbul AŞ,1,0,0,0
2,2008-08-27,Liverpool FC,Standard Liege,0,),0,0
2,2008-08-27,Olympique Marseille,Brann,2,1,0,0
1,2008-09-16,Chelsea FC,Girondins Bordeaux,4,0,2,0
1,2008-09-16,AS Roma,CFR Cluj,1,2,1,1
1,2008-09-16,Werder Bremen,Anorthosis Famagusta,0,0,0,0
1,2008-09-16,Panathinaikos FC,Internazionale,0,2,0,1
1,2008-09-16,Basel,Shakhtar Donetsk,1,2,0,2
1,2008-09-16,FC Barcelona,Sporting CP,3,1,1,0
1,2008-09-16,Olympique Marseille,Liverpool FC,1,2,1,2
1,2008-09-16,PSV Eindhoven,Atletico Madrid,0,3,0,2
1,2008-09-17,Manchester United FC,Villarreal CF,0,0,0,0
1,2008-09-17,Celtic FC,Aalborg BK,0,0,0,0
1,2008-09-17,Steaua Bucuresti,Bayern München,0,1,0,1
1,2008-09-17,Olympique Lyon,ACF Fiorentina,2,2,0,2
1,2008-09-17,FC Porto,Fenerbahçe İstanbul SK,3,1,2,1
1,2008-09-17,Dinamo Kiev,Arsenal FC,1,1,0,0
1,2008-09-17,Juventus,Zenit St. Petersburg,1,0,0,0
1,2008-09-17,Real Madrid CF,BATE Borisov,2,0,1,0
1,2008-09-30,Aalborg BK,Manchester United FC,0,3,0,1
1,2008-09-30,Villarreal CF,Celtic FC,1,0,0,0
1,2008-09-30,ACF Fiorentina,Steaua Bucuresti,0,0,0,0
1,2008-09-30,Bayern München,Olympique Lyon,1,1,0,1
1,2008-09-30,Fenerbahçe İstanbul SK,Dinamo Kiev,0,0,0,0
1,2008-09-30,Arsenal FC,FC Porto,4,0,2,0
1,2008-09-30,BATE Borisov,Juventus,2,2,2,2
1,2008-09-30,Zenit St. Petersburg,Real Madrid CF,1,2,1,2
1,2008-10-01,Girondins Bordeaux,AS Roma,1,3,1,0
1,2008-10-01,CFR Cluj,Chelsea FC,0,0,0,0
1,2008-10-01,Internazionale,Werder Bremen,1,1,1,0
1,2008-10-01,Anorthosis Famagusta,Panathinaikos FC,3,1,2,1
1,2008-10-01,Shakhtar Donetsk,FC Barcelona,1,2,1,0
1,2008-10-01,Sporting CP,Basel,2,0,0,0
1,2008-10-01,Atletico Madrid,Olympique Marseille,2,1,2,1
1,2008-10-01,Liverpool FC,PSV Eindhoven,3,1,2,0
1,2008-10-21,Manchester United FC,Celtic FC,3,0,1,0
1,2008-10-21,Villarreal CF,Aalborg BK,6,3,2,2
1,2008-10-21,Steaua Bucuresti,Olympique Lyon,3,5,3,2
1,2008-10-21,Bayern München,ACF Fiorentina,3,0,2,0
1,2008-10-21,Fenerbahçe İstanbul SK,Arsenal FC,2,5,1,3
1,2008-10-21,FC Porto,Dinamo Kiev,0,1,0,1
1,2008-10-21,Zenit St. Petersburg,BATE Borisov,1,1,0,0
1,2008-10-21,Juventus,Real Madrid CF,2,1,1,0
1,2008-10-22,Chelsea FC,AS Roma,1,0,0,0
1,2008-10-22,Girondins Bordeaux,CFR Cluj,1,0,0,0
1,2008-10-22,Panathinaikos FC,Werder Bremen,2,2,1,1
1,2008-10-22,Internazionale,Anorthosis Famagusta,1,0,1,0
1,2008-10-22,Basel,FC Barcelona,0,5,0,3
1,2008-10-22,Shakhtar Donetsk,Sporting CP,0,1,0,0
1,2008-10-22,PSV Eindhoven,Olympique Marseille,2,0,0,0
1,2008-10-22,Atletico Madrid,Liverpool FC,1,1,0,1
1,2008-11-04,AS Roma,Chelsea FC,3,1,1,0
1,2008-11-04,CFR Cluj,Girondins Bordeaux,1,2,1,2
1,2008-11-04,Anorthosis Famagusta ,Internazionale,3,3,2,2
1,2008-11-04,Werder Bremen,Panathinaikos FC,0,3,0,0
1,2008-11-04,FC Barcelona,Basel,1,1,0,0
1,2008-11-04,Sporting CP,Shakhtar Donetsk,1,0,0,0
1,2008-11-04,Liverpool FC,Atletico Madrid,1,1,0,1
1,2008-11-04,Olympique Marseille,PSV Eindhoven,3,0,1,0
1,2008-11-05,Aalborg BK,Villarreal CF,2,2,0,1
1,2008-11-05,Celtic FC,Manchester United FC,1,1,1,0
1,2008-11-05,Olympique Lyon,Steaua Bucuresti,2,0,1,0
1,2008-11-05,ACF Fiorentina,Bayern München,1,1,1,0
1,2008-11-05,Arsenal FC,Fenerbahçe İstanbul SK,0,0,0,0
1,2008-11-05,Dinamo Kiev,FC Porto,1,2,1,0
1,2008-11-05,Real Madrid CF,Juventus,0,2,0,1
1,2008-11-05,BATE Borisov ,Zenit St. Petersburg,0,2,0,1
1,2008-11-25,Aalborg BK,Celtic FC,2,1,0,0
1,2008-11-25,Villarreal CF,Manchester United FC,0,0,0,0
1,2008-11-25,ACF Fiorentina,Olympique Lyon,1,2,1,2
1,2008-11-25,Bayern München,Steaua Bucuresti,3,0,0,0
1,2008-11-25,Arsenal FC,Dinamo Kiev,1,0,0,0
1,2008-11-25,Fenerbahçe İstanbul SK,FC Porto,1,2,0,2
1,2008-11-25,BATE Borisov ,Real Madrid CF,0,1,0,1
1,2008-11-25,Zenit St. Petersburg,Juventus,0,0,0,0
1,2008-11-26,Girondins Bordeaux,Chelsea FC,1,1,0,0
1,2008-11-26,CFR Cluj,AS Roma,1,3,1,2
1,2008-11-26,Internazionale,Panathinaikos FC,0,1,0,0
1,2008-11-26,Anorthosis Famagusta ,Werder Bremen,2,2,0,0
1,2008-11-26,Sporting CP,FC Barcelona,2,5,0,2
1,2008-11-26,Shakhtar Donetsk,Basel,5,0,1,0
1,2008-11-26,Atletico Madrid,PSV Eindhoven,2,1,2,0
1,2008-11-26,Liverpool FC,Olympique Marseille,1,0,1,0
1,2008-12-09,AS Roma,Girondins Bordeaux,2,0,0,0
1,2008-12-09,Chelsea FC,CFR Cluj,2,1,1,0
1,2008-12-09,Panathinaikos FC ,Anorthosis Famagusta ,1,0,0,0
1,2008-12-09,Werder Bremen,Internazionale,2,1,0,0
1,2008-12-09,Basel ,Sporting CP,0,1,0,1
1,2008-12-09,FC Barcelona,Shakhtar Donetsk,2,3,0,1
1,2008-12-09,Olympique Marseille,Atletico Madrid,0,0,0,0
1,2008-12-09,PSV Eindhoven,Liverpool FC,1,3,1,1
1,2008-12-10,Manchester United FC,Aalborg BK ,2,2,1,2
1,2008-12-10,Celtic FC,Villarreal CF,2,0,2,0
1,2008-12-10,Olympique Lyon,Bayern München,2,3,0,3
1,2008-12-10,Steaua Bucuresti,ACF Fiorentina,0,1,0,0
1,2008-12-10,Dinamo Kiev ,Fenerbahçe İstanbul SK ,1,0,1,0
1,2008-12-10,FC Porto,Arsenal FC,2,0,1,0
1,2008-12-10,Real Madrid CF,Zenit St. Petersburg,3,0,1,0
1,2008-12-10,Juventus,BATE Borisov ,0,0,0,0
3,2009-02-24,Arsenal FC,AS Roma,1,0,1,0
3,2009-02-24,Atletico Madrid,FC Porto,2,2,2,1
3,2009-02-24,Olympique Lyon,FC Barcelona,1,1,1,0
3,2009-02-24,Internazionale,Manchester United FC,0,0,0,0
3,2009-02-25,Sporting CP,Bayern München,0,5,0,1
3,2009-02-25,Chelsea FC,Juventus,1,0,1,0
3,2009-02-25,Real Madrid CF,Liverpool FC,0,1,0,0
3,2009-02-25,Villarreal CF,Panathinaikos FC ,1,1,0,0
3,2009-03-10,Bayern München,Sporting CP,7,1,4,1
3,2009-03-10,Juventus ,Chelsea FC,2,2,1,1
3,2009-03-10,Panathinaikos FC ,Villarreal CF,1,2,0,0
3,2009-03-10,Liverpool FC ,Real Madrid CF,4,0,2,0
3,2009-03-11,AS Roma,Arsenal FC ,1,),1,0
3,2009-03-11,FC Porto,Atletico Madrid ,0,0,0,0
3,2009-03-11,Manchester United FC,Internazionale,2,0,1,0
3,2009-03-11,FC Barcelona ,Olympique Lyon,5,2,4,1
3,2009-04-07,Manchester United FC,FC Porto,2,2,1,1
3,2009-04-07,Villarreal CF,Arsenal FC ,1,1,1,0
3,2009-04-08,FC Barcelona ,Bayern München,4,0,4,0
3,2009-04-08,Liverpool FC ,Chelsea FC,1,3,1,1
3,2009-04-14,Chelsea FC ,Liverpool FC ,4,4,0,2
3,2009-04-14,Bayern München ,FC Barcelona ,1,1,0,0
3,2009-04-15,Arsenal FC ,Villarreal CF ,3,0,1,0
3,2009-04-15,FC Porto ,Manchester United FC ,0,1,0,1
3,2009-04-28,FC Barcelona ,Chelsea FC ,0,0,0,0
3,2009-04-29,Manchester United FC ,Arsenal FC ,1,0,0,0
3,2009-05-05,Arsenal FC ,Manchester United FC ,1,3,0,0
3,2009-05-06,Chelsea FC ,FC Barcelona ,1,1,0,0
3,2009-05-27,FC Barcelona ,Manchester United FC ,2,0,0,0
